file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\CustomLoginSuccessHandler.java,com.jeecg.modules.jmreport.config.CustomLoginSuccessHandler,"onAuthenticationSuccess/3[com.jeecg.modules.jmreport.config.HttpServletRequest,com.jeecg.modules.jmreport.config.HttpServletResponse,com.jeecg.modules.jmreport.config.Authentication]",false,22,4,0,0,0,1,3,5,0,1,3,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,10,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\JimuReportApplication.java,com.jeecg.modules.JimuReportApplication,main/1[java.lang.String[]],false,17,3,0,0,0,2,5,7,0,4,1,5,0,0,0,0,0,0,11,0,4,2,0,0,0,0,15,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\CustomCorsConfiguration.java,com.jeecg.modules.jmreport.config.CustomCorsConfiguration,addCorsMappings/1[com.jeecg.modules.jmreport.config.CorsRegistry],false,10,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\ViewPageCustomAccess.java,com.jeecg.modules.jmreport.config.ViewPageCustomAccess,"check/2[com.jeecg.modules.jmreport.config.HttpServletRequest,com.jeecg.modules.jmreport.config.Authentication]",false,22,2,0,0,0,6,6,16,4,4,2,6,0,0,0,0,0,0,3,0,4,0,2,0,0,0,17,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.config.JimuReportTokenServiceImpl,getRoles/1[java.lang.String],false,66,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.config.JimuReportTokenServiceImpl,getToken/1[com.jeecg.modules.jmreport.config.HttpServletRequest],false,22,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,true
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.config.JimuReportTokenServiceImpl,customApiHeader/0,false,87,1,0,0,0,1,1,6,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,9,1,0,true
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.config.JimuReportTokenServiceImpl,getTenantId/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.config.JimuReportTokenServiceImpl,getUsername/1[java.lang.String],false,54,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.config.JimuReportTokenServiceImpl,verifyToken/1[java.lang.String],false,76,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\SpringSecurityConfig.java,com.jeecg.modules.jmreport.config.SpringSecurityConfig,securityFilterChain/1[com.jeecg.modules.jmreport.config.HttpSecurity],false,21,4,1,0,1,1,17,4,1,0,1,17,0,0,0,0,0,0,23,0,0,0,0,0,0,0,30,1,0,false
