file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\test-plugin\src\main\java\io\papermc\testplugin\brigtests\Registration.java,io.papermc.testplugin.brigtests.Registration$Anonymous1,"suggest/2[CommandSourceStack,String[]]",false,106,3,0,0,0,1,3,4,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\test-plugin\src\main\java\io\papermc\testplugin\brigtests\Registration.java,io.papermc.testplugin.brigtests.Registration$Anonymous1,"execute/2[CommandSourceStack,String[]]",false,101,2,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\SourceGenerator.java,io.papermc.generator.types.SourceGenerator,writeToFile/1[java.nio.file.Path],false,8,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\StructureTypeKeys.java,io.papermc.paper.registry.keys.StructureTypeKeys,StructureTypeKeys/0,true,141,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\StructureTypeKeys.java,io.papermc.paper.registry.keys.StructureTypeKeys,create/1[io.papermc.paper.registry.keys.Key],false,144,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\DamageTypeKeys.java,io.papermc.paper.registry.keys.DamageTypeKeys,DamageTypeKeys/0,true,358,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\DamageTypeKeys.java,io.papermc.paper.registry.keys.DamageTypeKeys,create/1[io.papermc.paper.registry.keys.Key],false,368,5,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,true
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\GameEventKeys.java,io.papermc.paper.registry.keys.GameEventKeys,create/1[io.papermc.paper.registry.keys.Key],false,452,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\GameEventKeys.java,io.papermc.paper.registry.keys.GameEventKeys,GameEventKeys/0,true,449,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\goal\MobGoalNames.java,io.papermc.generator.types.goal.MobGoalNames,toBukkitClass/1[java.lang.Class<? extends net.minecraft.world.entity.Mob>],false,326,0,0,0,0,2,1,7,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,13,9,0,false
