file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-starter\sa-token-jakarta-servlet\src\main\java\cn\dev33\satoken\servlet\error\SaServletErrorCode.java,cn.dev33.satoken.servlet.error.SaServletErrorCode,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,2,0,2,0,0,0,0,14,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\fun\strategy\SaCheckOrAnnotationFunction.java,cn.dev33.satoken.fun.strategy.SaCheckOrAnnotationFunction,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-demo\sa-token-demo-case\src\main\java\com\pj\cases\up\MutexLoginController.java,com.pj.cases.up.MutexLoginController,class,4,4,0,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,10,2,0,0,0,0,6,0,1,1,1,0,0,0,0,11,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,class,2,3,1,2,12,1,0,1,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\sign\SaSignTemplate.java,cn.dev33.satoken.sign.SaSignTemplate,class,12,15,3,12,43,1,0,52,138,0.73333335,0.0,0.0,24,0,24,0,0,0,24,0,0,0,5,4,4,0,0,1,0,0,22,159,21,2,6,0,1,20,8,27,9,23,2,0,0,0,79,1,2
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-demo\sa-token-demo-sso\sa-token-demo-sso3-client\src\main\java\com\pj\SaSso3ClientApplication.java,com.pj.SaSso3ClientApplication,class,2,3,1,2,1,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,1,0,0,0,0,0,11,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-test\sa-token-springboot-test\src\test\java\cn\dev33\satoken\core\session\SaSessionCustomUtilTest.java,cn.dev33.satoken.core.session.SaSessionCustomUtilTest,class,3,3,0,3,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,15,0,5,4,5,0,0,0,0,14,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-demo\sa-token-demo-case\src\main\java\com\pj\cases\test\TestController.java,com.pj.cases.test.TestController,class,3,3,0,3,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0,5,0,0,0,0,0,0,0,0,7,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\secure\SaSecureUtil.java,cn.dev33.satoken.secure.SaSecureUtil,class,4,8,4,4,53,1,0,53,219,0.8608695,0.0,0.0,23,22,14,9,0,0,14,0,0,0,5,5,0,5,0,0,5,0,49,259,22,9,9,11,11,29,31,83,21,70,2,0,0,0,119,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\Sa-Token\sa-token-demo\sa-token-demo-case\src\main\java\com\pj\cases\use\LoginAuthController.java,com.pj.cases.use.LoginAuthController,class,5,5,0,5,8,1,0,28,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,22,53,7,0,0,0,0,34,2,10,19,10,1,0,0,0,30,1,0
