file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-core\src\main\java\io\debezium\snapshot\mode\WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,class,3,3,0,3,8,2,0,2,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,26,7,0,0,0,0,1,0,1,0,1,1,0,0,0,24,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-mariadb\src\test\java\io\debezium\connector\mariadb\DdlParserIT.java,io.debezium.connector.mariadb.DdlParserIT,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-jdbc\src\test\java\io\debezium\connector\jdbc\util\SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,innerclass,13,13,0,13,44,1,0,50,205,0.849537,0.0,0.0,27,0,16,11,0,0,16,0,0,0,16,0,0,16,0,0,1,0,11,221,37,1,4,2,1,15,0,49,1,47,1,1,0,0,70,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-jdbc\src\test\java\io\debezium\connector\jdbc\integration\sqlserver\JdbcSinkInsertModeIT.java,io.debezium.connector.jdbc.integration.sqlserver.JdbcSinkInsertModeIT,class,5,5,0,5,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-embedded\src\main\java\io\debezium\embedded\async\ParallelSmtAndConvertBatchProcessor.java,io.debezium.embedded.async.ParallelSmtAndConvertBatchProcessor,class,8,10,2,8,4,2,0,14,0,0.125,0.0,0.0,2,0,1,0,0,1,2,0,0,0,4,1,0,1,0,3,4,0,1,26,0,1,1,0,0,3,0,7,0,8,2,0,0,1,53,1,3
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-oracle\src\test\java\io\debezium\connector\oracle\OracleMetricsIT.java,io.debezium.connector.oracle.OracleMetricsIT,class,8,8,0,8,13,2,0,14,54,0.6666667,0.0,0.0,12,2,3,0,9,0,12,0,0,0,1,1,0,1,0,0,0,0,8,53,8,0,1,0,0,16,1,2,3,2,1,0,0,0,70,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-sqlserver\src\test\java\io\debezium\connector\sqlserver\CaseSensitivenessIT.java,io.debezium.connector.sqlserver.CaseSensitivenessIT,class,16,17,1,16,6,2,0,28,0,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,6,51,0,0,1,0,9,43,12,8,0,4,1,0,0,0,73,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\MySqlConnectorConfig.java,io.debezium.connector.mysql.MySqlConnectorConfig,class,23,44,21,23,15,2,0,39,29,0.8636365,0.0,0.0,11,2,6,1,4,0,10,0,0,0,14,10,7,6,1,0,13,0,7,119,11,0,3,0,1,22,5,17,5,17,2,0,2,0,246,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-jdbc\src\test\java\io\debezium\connector\jdbc\junit\jupiter\MySqlSinkDatabaseContextProvider.java,io.debezium.connector.jdbc.junit.jupiter.MySqlSinkDatabaseContextProvider,class,5,14,9,5,3,2,0,12,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,13,1,0,0,0,0,8,0,2,0,2,1,0,0,0,28,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\debezium\debezium-connector-postgres\src\test\java\io\debezium\connector\postgresql\rest\DebeziumPostgresConnectorResourceIT.java,io.debezium.connector.postgresql.rest.DebeziumPostgresConnectorResourceIT,class,8,9,1,8,16,1,0,42,78,0.0,0.0,0.0,13,2,12,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,26,62,1,1,1,0,0,162,36,12,13,11,2,0,0,0,67,1,0
