file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\license\FlywayInvalidLicenseKeyException.java,org.flywaydb.core.internal.license.FlywayInvalidLicenseKeyException,class,1,1,0,1,2,6,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,24,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\scanner\classpath\jboss\JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,class,2,3,1,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,1,0,6,0,6,0,6,1,0,0,0,35,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\authentication\ExternalAuthPropertiesProvider.java,org.flywaydb.core.internal.authentication.ExternalAuthPropertiesProvider,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\util\FileUtils.java,org.flywaydb.core.internal.util.FileUtils,class,8,16,8,8,42,1,0,53,153,0.0,0.0,0.0,18,18,16,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,32,177,18,4,3,9,2,31,10,32,6,26,2,0,0,0,111,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\extensibility\FlywayExpiredLicenseKeyException.java,org.flywaydb.core.extensibility.FlywayExpiredLicenseKeyException,class,2,3,1,2,1,6,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,25,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-database\flyway-database-hsqldb\src\main\java\org\flywaydb\database\hsqldb\HSQLDBConnection.java,org.flywaydb.database.hsqldb.HSQLDBConnection,class,4,5,1,4,6,2,0,8,6,0.0,0.0,0.0,4,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,28,2,1,0,1,0,3,0,4,1,2,3,0,0,0,30,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\resource\filesystem\FlywayEncodingDetectionException.java,org.flywaydb.core.internal.resource.filesystem.FlywayEncodingDetectionException,class,1,2,1,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\scanner\classpath\FileSystemClassPathLocationScanner.java,org.flywaydb.core.internal.scanner.classpath.FileSystemClassPathLocationScanner,class,3,5,2,3,9,1,0,17,3,0.0,0.0,0.0,3,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,41,4,1,0,0,0,9,1,7,6,6,4,0,0,0,59,1,4
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\database\sqlite\SQLiteTable.java,org.flywaydb.core.internal.database.sqlite.SQLiteTable,class,8,9,1,8,7,3,0,8,4,0.625,0.0,0.0,4,0,1,0,3,0,4,0,0,0,2,1,0,1,0,1,2,0,0,26,1,0,0,0,0,11,1,4,5,3,2,0,0,0,69,1,2
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-commandline\src\main\java\org\flywaydb\commandline\configuration\CommandLineArguments.java,org.flywaydb.commandline.configuration.CommandLineArguments$Color,enum,2,2,0,2,4,1,0,8,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,3,11,3,0,1,0,0,3,0,0,0,2,1,0,0,1,22,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-database\flyway-database-oracle\src\main\java\org\flywaydb\database\oracle\OracleTable.java,org.flywaydb.database.oracle.OracleTable,class,4,5,1,4,4,2,0,4,6,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,4,0,0,2,0,0,0,0,0,42,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\api\migration\baseline\BaselineAppliedMigration.java,org.flywaydb.core.api.migration.baseline.BaselineAppliedMigration,class,9,10,1,9,7,2,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,33,5,0,2,0,0,0,0,12,0,3,2,0,0,1,34,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-core\src\main\java\org\flywaydb\core\internal\resolver\script\ScriptMigrationResolver.java,org.flywaydb.core.internal.resolver.script.ScriptMigrationResolver,class,22,25,3,22,31,1,0,43,16,0.6984127,0.0,0.0,9,1,3,5,0,1,4,0,0,0,7,0,1,6,0,0,7,0,9,121,8,5,3,0,0,15,3,26,2,25,3,1,0,1,75,1,1
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-experimental\flyway-experimental-mongodb\src\main\java\org\flywaydb\experimental\mongodb\ExperimentalMongoDB.java,org.flywaydb.experimental.mongodb.ExperimentalMongoDB,class,15,16,1,15,22,1,0,48,48,0.7083334,0.0,0.0,12,0,10,2,0,0,10,0,0,0,2,0,0,2,0,0,0,0,2,74,12,3,2,0,0,18,6,12,0,11,2,0,0,1,62,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\flyway\flyway-database\flyway-database-db2\src\main\java\org\flywaydb\database\db2\DB2Database.java,org.flywaydb.database.db2.DB2Database,class,6,11,5,6,14,2,0,13,55,0.0,0.0,0.0,11,0,9,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,38,9,0,1,0,2,38,0,1,4,1,0,0,0,0,86,1,0
