file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\common\src\test\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializerTest.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializerTest,class,8,8,0,8,6,1,0,13,0,0.5555555,0.0,0.0,6,0,0,0,0,6,6,0,0,0,3,0,0,3,0,0,0,0,2,31,0,0,0,0,0,7,0,7,0,9,0,0,0,0,25,0,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\collector\collector\src\main\java\org\apache\hertzbeat\collector\dispatch\CommonDispatcher.java,org.apache.hertzbeat.collector.dispatch.CommonDispatcher$MetricsTime,innerclass,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,12,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\warehouse\src\main\java\org\apache\hertzbeat\warehouse\store\realtime\RealTimeDataReader.java,org.apache.hertzbeat.warehouse.store.realtime.RealTimeDataReader,interface,2,11,9,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\common\src\main\java\org\apache\hertzbeat\common\serialize\KafkaMetricsDataSerializer.java,org.apache.hertzbeat.common.serialize.KafkaMetricsDataSerializer,class,5,7,2,5,5,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,1,0,0,1,0,0,0,0,1,0,0,0,15,1,1
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\manager\src\main\java\org\apache\hertzbeat\manager\service\impl\TemplateConfigServiceImpl.java,org.apache.hertzbeat.manager.service.impl.TemplateConfigServiceImpl,class,8,12,4,8,5,2,0,2,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,22,2,0,1,0,0,0,0,0,0,1,1,1,0,0,31,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\collector\collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\http\promethus\exporter\MetricFamily.java,org.apache.hertzbeat.collector.collect.http.promethus.exporter.MetricFamily$Label,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\manager\src\test\java\org\apache\hertzbeat\manager\service\AiServiceFactoryTest.java,org.apache.hertzbeat.manager.service.AiServiceFactoryTest,class,9,9,0,9,5,1,0,20,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,4,39,0,0,0,0,0,9,0,8,3,10,0,0,0,2,38,0,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\common\src\main\java\org\apache\hertzbeat\common\entity\message\CollectRep.java,org.apache.hertzbeat.common.entity.message.CollectRep$Field$Builder,innerclass,14,14,0,14,56,1,0,33,619,0.8684211,0.0,0.0,38,1,34,3,1,0,35,0,4,0,4,0,0,4,0,0,0,0,4,241,41,0,8,1,2,4,3,41,0,17,2,0,0,0,90,25,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\manager\src\main\java\org\apache\hertzbeat\manager\pojo\dto\OpenAiRequestParamDTO.java,org.apache.hertzbeat.manager.pojo.dto.OpenAiRequestParamDTO,class,6,9,3,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,5,0,0,0,0,70,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\collector\collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\push\PushCollectImpl.java,org.apache.hertzbeat.collector.collect.push.PushCollectImpl,class,23,25,2,23,19,2,0,52,15,0.8333333,0.0,0.0,6,0,3,3,0,0,3,0,0,0,4,4,0,4,0,0,4,0,14,92,4,3,6,1,0,8,4,25,6,25,3,1,0,0,78,1,1
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\collector\collector-basic\src\main\java\org\apache\hertzbeat\collector\collect\redfish\RedfishConnectSession.java,org.apache.hertzbeat.collector.collect.redfish.RedfishConnectSession,class,6,7,1,6,11,1,0,20,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,6,59,2,0,2,2,0,6,2,16,10,12,2,0,0,0,33,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\collector\collector-common\src\main\java\org\apache\hertzbeat\collector\dispatch\timer\HashedWheelTimer.java,org.apache.hertzbeat.collector.dispatch.timer.HashedWheelTimer$HashedWheelBucket,innerclass,3,3,0,3,22,1,0,8,0,0.3,0.0,0.0,5,0,1,1,0,3,4,0,0,0,2,0,0,2,0,0,0,0,1,94,4,2,11,0,0,1,1,31,0,8,3,0,0,0,61,26,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hertzbeat\common\src\main\java\org\apache\hertzbeat\common\entity\job\protocol\IcmpProtocol.java,org.apache.hertzbeat.common.entity.job.protocol.IcmpProtocol,class,4,7,3,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,1,0
