file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-hadoop-common\src\test\java\org\apache\hudi\common\table\read\TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,class,19,20,1,19,14,3,0,32,28,0.0,0.0,0.0,8,2,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,101,1,6,4,0,3,40,62,44,7,33,1,0,0,0,85,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-utilities\src\test\java\org\apache\hudi\utilities\sources\TestSqlSource.java,org.apache.hudi.utilities.sources.TestSqlSource,class,18,19,1,18,11,2,0,28,11,0.5909091,0.0,0.0,11,2,10,1,0,0,10,0,0,0,8,0,0,6,2,0,2,0,5,74,0,0,0,0,0,11,6,25,1,15,0,0,0,1,90,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-common\src\main\java\org\apache\hudi\config\metrics\HoodieMetricsJmxConfig.java,org.apache.hudi.config.metrics.HoodieMetricsJmxConfig$Builder,innerclass,2,2,0,2,5,1,0,6,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,25,5,0,0,1,0,0,0,2,0,2,1,0,0,0,23,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-cli\src\test\java\org\apache\hudi\cli\commands\TestUpgradeDowngradeCommand.java,org.apache.hudi.cli.commands.TestUpgradeDowngradeCommand,class,17,18,1,17,14,2,0,41,9,0.5714286,0.0,0.0,7,1,4,3,0,0,4,0,0,0,2,0,0,2,0,0,0,0,11,60,1,2,3,1,0,24,2,10,0,7,2,0,0,0,67,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-common\src\test\java\org\apache\hudi\common\testutils\reader\HoodieFileGroupReaderTestUtils.java,org.apache.hudi.common.testutils.reader.HoodieFileGroupReaderTestUtils$HoodieFileGroupReaderBuilder,innerclass,9,9,0,9,7,1,0,5,9,0.7142858,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,0,0,1,39,7,0,0,0,0,2,3,6,2,6,0,0,0,0,26,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-sync\hudi-sync-common\src\test\java\org\apache\hudi\sync\common\TestHoodieSyncClient.java,org.apache.hudi.sync.common.TestHoodieSyncClient$DummyExtractor,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-client\hudi-client-common\src\main\java\org\apache\hudi\table\upgrade\UpgradeDowngradeUtils.java,org.apache.hudi.table.upgrade.UpgradeDowngradeUtils,class,13,13,0,13,8,1,0,31,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,2,3,0,3,0,6,0,8,4,0,0,2,53,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-common\src\main\java\org\apache\hudi\common\util\SerializationUtils.java,org.apache.hudi.common.util.SerializationUtils$KryoInstantiator,innerclass,7,7,0,7,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,10,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-sync\hudi-datahub-sync\src\main\java\org\apache\hudi\sync\datahub\DataHubSyncClient.java,org.apache.hudi.sync.datahub.DataHubSyncClient,class,36,40,4,36,28,2,2,48,35,0.72727275,0.0,0.0,11,1,7,2,0,2,9,0,0,0,3,1,0,2,1,0,3,0,2,94,15,0,0,3,0,12,1,14,3,15,1,0,0,1,88,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-utilities\src\test\java\org\apache\hudi\utilities\TestHoodieIndexer.java,org.apache.hudi.utilities.TestHoodieIndexer,class,33,34,1,33,23,2,0,114,44,0.6825397,0.0,0.0,21,4,13,8,0,0,13,0,0,0,3,2,0,3,0,0,1,0,35,309,4,0,0,3,0,38,38,144,5,103,1,0,0,10,174,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-common\src\main\java\org\apache\hudi\common\table\view\FileSystemViewManager.java,org.apache.hudi.common.table.view.FileSystemViewManager$SecondaryViewSupplier,innerclass,10,10,0,10,5,1,0,4,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,0,0,4,0,0,4,0,3,24,3,0,0,0,0,1,0,4,1,4,1,0,0,0,39,10,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-client\hudi-client-common\src\main\java\org\apache\hudi\client\utils\LegacyArchivedMetaEntryReader.java,org.apache.hudi.client.utils.LegacyArchivedMetaEntryReader$ArchiveLogVersionComparator,innerclass,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-common\src\main\java\org\apache\hudi\common\util\NetworkUtils.java,org.apache.hudi.common.util.NetworkUtils,class,2,3,1,2,8,1,0,23,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,38,4,1,0,3,1,4,3,5,1,6,4,0,0,1,34,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-flink-datasource\hudi-flink\src\test\java\org\apache\hudi\source\TestStreamReadMonitoringFunction.java,org.apache.hudi.source.TestStreamReadMonitoringFunction,class,20,21,1,20,15,1,0,49,0,0.4242424,0.0,0.0,11,1,8,3,0,0,8,0,0,0,3,1,0,2,0,1,1,0,39,258,2,2,1,10,0,60,41,61,3,78,2,0,1,21,130,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-common\src\main\java\org\apache\hudi\avro\AvroSchemaCompatibility.java,org.apache.hudi.avro.AvroSchemaCompatibility,class,8,12,4,8,14,1,0,18,8,0.8,0.0,0.0,5,4,3,2,0,0,3,0,0,0,2,2,1,1,0,0,2,0,4,547,6,1,3,0,1,5,3,8,2,7,2,0,7,0,319,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-client\hudi-java-client\src\main\java\org\apache\hudi\table\action\commit\JavaUpsertPartitioner.java,org.apache.hudi.table.action.commit.JavaUpsertPartitioner,class,20,23,3,20,43,1,0,91,20,0.72222215,0.0,0.0,12,1,6,4,2,0,8,0,0,0,9,1,0,6,3,0,3,0,9,206,13,8,1,1,8,21,25,64,29,56,5,0,0,2,176,1,8
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\hudi\hudi-flink-datasource\hudi-flink1.19.x\src\main\java\org\apache\hudi\adapter\MaskingOutputAdapter.java,MaskingOutputAdapter,class,5,7,2,5,8,1,0,2,16,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
