file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\plan\planner\plan\node\process\ActiveRegionScanMergeNode.java,org.apache.iotdb.db.queryengine.plan.planner.plan.node.process.ActiveRegionScanMergeNode,class,8,14,6,8,20,4,0,15,0,0.35897437,0.0,0.0,13,1,11,0,2,0,13,0,0,0,3,0,0,3,0,0,3,0,4,67,13,0,5,0,0,4,0,8,2,8,1,0,0,0,54,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-core\consensus\src\main\java\org\apache\iotdb\consensus\IStateMachine.java,org.apache.iotdb.consensus.IStateMachine$EventApi,interface,2,2,0,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\storageengine\dataregion\wal\buffer\WALEntryValue.java,org.apache.iotdb.db.storageengine.dataregion.wal.buffer.WALEntryValue,interface,2,10,8,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\integration-test\src\test\java\org\apache\iotdb\db\it\aggregation\IoTDBAggregationByLevel2IT.java,org.apache.iotdb.db.it.aggregation.IoTDBAggregationByLevel2IT,class,7,7,0,7,2,2,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\example\udf\src\main\java\org\apache\iotdb\udf\UDAFExample.java,org.apache.iotdb.udf.UDAFExample,class,12,13,1,12,38,1,0,18,53,0.8181818,0.0,0.0,11,0,7,4,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,126,5,4,5,0,0,1,20,23,1,15,2,0,1,0,58,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\utils\DateTimeUtils.java,org.apache.iotdb.db.utils.DateTimeUtils,class,9,13,4,9,145,1,0,75,341,0.9578545,0.0,0.0,27,26,26,1,0,0,51,0,0,0,29,29,27,2,0,0,28,0,48,439,50,3,5,2,3,57,99,85,33,58,3,0,1,3,178,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-core\consensus\src\main\java\org\apache\iotdb\consensus\config\IoTConsensusConfig.java,org.apache.iotdb.consensus.config.IoTConsensusConfig$Replication,innerclass,1,1,0,1,16,1,0,0,92,0.875,0.0,0.0,16,1,15,1,0,0,15,0,0,0,14,0,0,14,0,0,14,0,0,152,15,0,0,0,1,0,0,14,1,14,0,0,1,0,48,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-client\service-rpc\src\main\java\org\apache\iotdb\rpc\subscription\exception\SubscriptionConnectionException.java,org.apache.iotdb.rpc.subscription.exception.SubscriptionConnectionException,class,3,6,3,3,4,7,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,2,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\execution\operator\process\TransformOperator.java,org.apache.iotdb.db.queryengine.execution.operator.process.TransformOperator,class,29,30,1,29,59,1,0,68,20,0.81562495,0.0,0.0,20,0,12,3,5,0,17,0,1,0,16,1,0,2,14,0,8,0,4,248,23,8,14,3,4,5,17,52,7,41,5,0,0,0,123,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\service\metrics\WritingMetrics.java,org.apache.iotdb.db.service.metrics.WritingMetrics,class,12,18,6,12,76,1,0,53,1693,0.9456475,0.0,0.0,62,1,52,10,0,0,52,0,0,0,73,43,41,32,0,0,43,0,16,400,10,0,3,0,3,41,5,126,4,93,1,0,0,12,156,1,0
