file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-broker\src\main\java\org\apache\pinot\broker\broker\BrokerAdminApiApplication.java,org.apache.pinot.broker.broker.BrokerAdminApiApplication,class,24,26,2,24,10,2,0,24,0,0.6888889,0.0,0.0,5,0,4,1,0,0,4,0,0,0,9,4,3,6,0,0,8,0,4,91,2,0,1,1,0,11,0,17,0,17,1,1,0,1,101,1,3
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-query-planner\src\main\java\org\apache\pinot\query\planner\serde\ProtoExpressionToRexExpression.java,org.apache.pinot.query.planner.serde.ProtoExpressionToRexExpression,class,17,20,3,17,48,1,0,33,15,0.0,0.0,0.0,6,5,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,157,38,6,0,0,0,3,5,28,3,23,3,0,0,0,42,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-common\src\main\java\org\apache\pinot\common\utils\fetcher\SegmentFetcher.java,org.apache.pinot.common.utils.fetcher.SegmentFetcher,interface,1,5,4,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-plugins\pinot-stream-ingestion\pinot-pulsar\src\main\java\org\apache\pinot\plugin\stream\pulsar\PulsarPartitionLevelConnectionHandler.java,org.apache.pinot.plugin.stream.pulsar.PulsarPartitionLevelConnectionHandler,class,4,6,2,4,8,1,2,15,0,0.33333334,0.0,0.0,2,0,1,0,1,0,2,0,0,0,3,0,0,0,3,0,3,0,0,35,0,0,0,1,0,1,0,9,0,9,3,0,0,0,50,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-perf\src\main\java\org\apache\pinot\perf\BenchmarkNoDictionaryStringCompression.java,org.apache.pinot.perf.BenchmarkNoDictionaryStringCompression$CompressionBuffers,innerclass,4,4,0,4,5,1,0,10,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,7,57,0,2,0,0,0,0,4,16,1,14,1,0,0,0,45,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-query-runtime\src\main\java\org\apache\pinot\query\runtime\operator\groupby\MultiKeysGroupIdGenerator.java,org.apache.pinot.query.runtime.operator.groupby.MultiKeysGroupIdGenerator$Anonymous1,anonymous,4,4,0,4,4,1,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,19,2,1,1,0,0,0,1,8,0,7,2,0,0,0,21,-1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-segment-spi\src\main\java\org\apache\pinot\segment\spi\index\creator\H3IndexConfig.java,org.apache.pinot.segment.spi.index.creator.H3IndexConfig,class,6,11,5,6,13,2,0,11,0,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,2,2,1,0,0,3,0,3,45,6,1,4,1,0,5,0,6,0,5,2,0,0,0,50,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-common\src\main\java\org\apache\pinot\common\utils\config\AccessControlUserConfigUtils.java,org.apache.pinot.common.utils.config.AccessControlUserConfigUtils,class,3,6,3,3,6,1,0,21,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,38,2,0,3,0,0,0,0,14,0,15,1,0,0,2,43,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-tools\src\main\java\org\apache\pinot\tools\AbstractBaseCommand.java,org.apache.pinot.tools.AbstractBaseCommand,class,1,15,14,1,7,1,11,5,15,1.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,2,2,0,0,0,2,0,1,27,1,0,0,0,0,4,0,2,1,2,1,1,0,0,28,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-common\src\main\java\org\apache\pinot\common\data\Segment.java,org.apache.pinot.common.data.Segment,class,2,3,1,2,7,1,0,2,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,27,6,0,1,0,0,0,1,3,2,3,1,0,0,0,18,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-common\src\main\java\org\apache\pinot\common\request\Identifier.java,org.apache.pinot.common.request.Identifier$IdentifierStandardSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-segment-local\src\main\java\org\apache\pinot\segment\local\customobject\PinotFourthMoment.java,org.apache.pinot.segment.local.customobject.PinotFourthMoment,class,5,6,1,5,10,2,0,14,28,0.875,0.0,0.0,8,2,8,0,0,0,8,0,0,0,1,1,0,1,0,0,1,0,4,65,8,0,2,0,10,0,6,33,47,23,1,0,0,5,101,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-spi\src\main\java\org\apache\pinot\spi\utils\retry\RetryPolicy.java,org.apache.pinot.spi.utils.retry.RetryPolicy,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-integration-tests\src\test\java\org\apache\pinot\integration\tests\custom\CpcSketchTest.java,org.apache.pinot.integration.tests.custom.CpcSketchTest,class,12,13,1,12,17,5,0,30,16,0.6296296,0.0,0.0,9,0,7,1,1,0,8,0,0,0,3,3,0,3,0,0,3,0,12,96,5,4,0,1,0,92,45,43,12,34,2,0,0,0,81,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-spi\src\main\java\org\apache\pinot\spi\stream\StreamConsumerFactory.java,org.apache.pinot.spi.stream.StreamConsumerFactory,class,9,13,4,9,7,1,0,2,21,0.85714287,0.0,0.0,7,0,6,0,1,0,7,2,0,0,1,0,0,0,1,0,0,0,0,20,2,0,0,0,0,0,0,1,0,1,0,0,0,0,53,1025,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-segment-local\src\main\java\org\apache\pinot\segment\local\realtime\impl\dictionary\BaseOnHeapMutableDictionary.java,org.apache.pinot.segment.local.realtime.impl.dictionary.BaseOnHeapMutableDictionary,class,1,8,7,1,8,1,7,2,4,0.63333327,0.0,0.0,5,0,3,0,2,0,5,0,0,0,6,3,0,6,0,0,5,0,0,43,6,0,3,0,1,0,6,14,6,11,2,0,0,0,105,1025,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-segment-local\src\main\java\org\apache\pinot\segment\local\utils\IdMap.java,org.apache.pinot.segment.local.utils.IdMap,interface,1,3,2,1,4,1,0,0,6,0.75,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,67,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-controller\src\main\java\org\apache\pinot\controller\helix\core\util\ZKMetadataUtils.java,org.apache.pinot.controller.helix.core.util.ZKMetadataUtils,class,10,13,3,10,23,1,0,58,15,0.0,0.0,0.0,6,5,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,87,2,0,11,0,0,1,2,11,0,12,2,0,0,1,56,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-controller\src\main\java\org\apache\pinot\controller\validation\StorageQuotaChecker.java,org.apache.pinot.controller.validation.StorageQuotaChecker$QuotaCheckerResponse,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,9,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-common\src\main\java\org\apache\pinot\common\function\scalar\comparison\PolymorphicComparisonScalarFunction.java,org.apache.pinot.common.function.scalar.comparison.PolymorphicComparisonScalarFunction,class,5,12,7,5,7,1,6,3,6,1.0,0.0,0.0,4,0,2,0,2,0,4,1,0,0,1,1,0,0,1,0,1,0,0,22,6,0,3,0,0,0,6,1,0,1,1,0,0,0,70,1025,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\pinot\pinot-common\src\main\java\org\apache\pinot\common\restlet\resources\ResourceUtils.java,org.apache.pinot.common.restlet.resources.ResourceUtils,class,3,4,1,3,3,1,0,3,0,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,14,1,0,0,1,0,2,0,1,0,1,1,0,0,0,24,1,1
