file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\RemoveAppAPI.java,io.supertokens.webserver.api.multitenancy.RemoveAppAPI,class,12,13,1,12,7,3,0,13,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,4,31,1,0,0,1,0,7,2,7,0,6,2,0,0,0,62,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\session\refreshToken\RefreshToken.java,io.supertokens.session.refreshToken.RefreshToken,class,17,19,2,17,14,3,0,23,10,0.0,0.0,0.0,5,5,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,124,5,0,4,4,0,7,4,16,4,16,2,0,4,0,72,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\TelemetryTest.java,io.supertokens.test.TelemetryTest$Anonymous11$Anonymous12,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\inmemorydb\QueryExecutorTemplate.java,io.supertokens.inmemorydb.QueryExecutorTemplate,interface,6,26,20,6,5,1,0,8,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,27,4,0,1,5,0,0,0,6,0,5,2,0,0,0,28,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\WebserverTest.java,io.supertokens.test.WebserverTest,class,18,19,1,18,58,2,0,45,276,1.0,0.0,0.0,24,2,22,2,0,0,22,0,0,0,1,0,1,0,0,0,0,0,86,750,1,2,10,22,6,343,111,129,17,110,2,14,1,0,206,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\webserver\api\core\GetUserByIdAPI.java,io.supertokens.webserver.api.core.GetUserByIdAPI,class,12,13,1,12,8,3,0,9,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,42,1,0,3,2,0,8,2,9,0,7,3,0,0,0,44,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\ProcessConsumer.java,io.supertokens.test.ProcessConsumer,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\emailpassword\api\ImportUserWithPasswordHashAPITest.java,io.supertokens.test.emailpassword.api.ImportUserWithPasswordHashAPITest,class,13,13,0,13,48,1,0,29,66,1.0,0.0,0.0,12,1,12,0,0,0,12,0,0,0,1,0,1,0,0,0,0,0,21,410,10,0,23,13,0,312,82,129,9,129,1,0,0,0,154,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\webserver\api\passwordless\CreateCodeAPI.java,io.supertokens.webserver.api.passwordless.CreateCodeAPI,class,14,15,1,14,11,3,0,19,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,11,54,1,0,3,1,0,22,6,12,1,12,1,0,0,0,79,1,0
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\passwordless\api\PasswordlessUserGetAPITest2_11.java,io.supertokens.test.passwordless.api.PasswordlessUserGetAPITest2_11,class,15,16,1,15,15,1,0,28,15,1.0,0.0,0.0,6,2,5,1,0,0,5,0,0,0,1,0,1,0,0,0,0,0,23,163,3,0,5,3,7,93,27,41,2,38,2,0,0,0,67,1,0
