file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\RemoveAppAPI.java,io.supertokens.webserver.api.multitenancy.RemoveAppAPI,"doPost/2[io.supertokens.webserver.api.multitenancy.HttpServletRequest,io.supertokens.webserver.api.multitenancy.HttpServletResponse]",false,51,11,6,0,6,5,12,22,0,5,2,12,0,0,0,0,1,0,6,1,6,0,2,0,0,0,47,4,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\RemoveAppAPI.java,io.supertokens.webserver.api.multitenancy.RemoveAppAPI,getPath/0,false,46,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\webserver\api\multitenancy\RemoveAppAPI.java,io.supertokens.webserver.api.multitenancy.RemoveAppAPI,RemoveAppAPI/1[io.supertokens.Main],true,41,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\session\refreshToken\RefreshToken.java,io.supertokens.session.refreshToken.RefreshToken,"getInfoFromRefreshToken/3[io.supertokens.session.refreshToken.AppIdentifier,io.supertokens.Main,java.lang.String]",false,58,13,9,2,7,6,9,20,1,6,3,9,1,1,0,3,1,0,3,3,6,1,2,0,0,0,38,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\session\refreshToken\RefreshToken.java,io.supertokens.session.refreshToken.RefreshToken,getTypeFromToken/1[java.lang.String],false,123,2,4,1,3,3,2,14,1,3,1,2,0,0,0,1,1,0,2,1,3,1,2,0,0,0,22,10,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\session\refreshToken\RefreshToken.java,io.supertokens.session.refreshToken.RefreshToken,"createNewRefreshToken/5[io.supertokens.Main,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,93,7,1,0,1,2,1,8,1,0,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,21,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\session\refreshToken\RefreshToken.java,io.supertokens.session.refreshToken.RefreshToken,"createNewRefreshToken/6[io.supertokens.session.refreshToken.TenantIdentifier,io.supertokens.Main,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,109,11,10,3,7,1,13,10,1,7,6,13,0,0,0,0,0,0,2,0,7,2,0,0,0,0,24,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\session\refreshToken\RefreshToken.java,io.supertokens.session.refreshToken.RefreshToken,"getInfoFromRefreshToken/2[io.supertokens.Main,java.lang.String]",false,47,6,1,0,1,2,1,8,1,0,2,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,20,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\TelemetryTest.java,io.supertokens.test.TelemetryTest$Anonymous11$Anonymous12,openConnection/1[java.net.URL],false,353,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\inmemorydb\QueryExecutorTemplate.java,io.supertokens.inmemorydb.QueryExecutorTemplate,"execute/4[io.supertokens.inmemorydb.Start,java.lang.String,io.supertokens.inmemorydb.PreparedStatementValueSetter,io.supertokens.inmemorydb.ResultSetValueExtractor<T>]",false,29,6,2,0,2,1,2,5,1,1,4,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,10,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\inmemorydb\QueryExecutorTemplate.java,io.supertokens.inmemorydb.QueryExecutorTemplate,"execute/4[java.sql.Connection,java.lang.String,io.supertokens.inmemorydb.PreparedStatementValueSetter,io.supertokens.inmemorydb.ResultSetValueExtractor<T>]",false,36,3,3,1,2,2,4,9,1,2,4,4,0,0,0,1,2,0,0,0,3,0,2,0,0,0,20,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\inmemorydb\QueryExecutorTemplate.java,io.supertokens.inmemorydb.QueryExecutorTemplate,"update/3[io.supertokens.inmemorydb.Start,java.lang.String,io.supertokens.inmemorydb.PreparedStatementValueSetter]",false,48,4,38,36,2,1,2,5,1,1,3,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,9,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\main\java\io\supertokens\inmemorydb\QueryExecutorTemplate.java,io.supertokens.inmemorydb.QueryExecutorTemplate,"update/3[java.sql.Connection,java.lang.String,io.supertokens.inmemorydb.PreparedStatementValueSetter]",false,55,1,59,58,1,1,3,6,1,1,3,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,14,9,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\WebserverTest.java,io.supertokens.test.WebserverTest,"getRecipeRouter/3[io.supertokens.test.TestingProcessManager.TestingProcess,java.lang.String,java.lang.String]",false,1068,3,2,1,1,1,1,41,1,2,3,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,36,10,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\WebserverTest.java,io.supertokens.test.WebserverTest,serverThreadPoolSizeTwo/0,false,742,6,6,0,6,1,11,32,0,6,0,11,0,0,0,0,0,0,4,0,6,0,0,1,0,0,41,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\WebserverTest.java,io.supertokens.test.WebserverTest,testValidGetInput/0,false,413,4,4,0,4,1,10,22,0,4,0,10,0,0,0,0,0,0,7,2,4,0,0,1,0,0,35,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\WebserverTest.java,io.supertokens.test.WebserverTest,serverHello/0,false,445,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\WebserverTest.java,io.supertokens.test.WebserverTest,testRecipeRouterWhereSubRoutesHaveDifferentPaths/0,false,178,5,4,0,4,2,9,28,0,4,0,9,0,0,0,0,1,0,5,0,4,0,1,2,0,0,43,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\supertokens-core\src\test\java\io\supertokens\test\WebserverTest.java,io.supertokens.test.WebserverTest,samePortTwoServersError/0,false,591,5,3,0,3,2,7,12,0,4,0,7,0,0,0,1,0,0,7,0,4,1,0,0,0,0,62,1,0,false
