file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous157$Anonymous158,run/0,false,5739,0,28,0,28,1,1,186,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,39,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous458$Anonymous460,run/0,false,7460,4,28,0,28,2,22,42,0,4,0,22,0,0,0,0,0,2,10,2,4,2,1,2,0,0,33,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous458$Anonymous464,run/0,false,7506,0,28,0,28,1,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous12$Anonymous13$Anonymous14,run/0,false,1244,0,28,0,28,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous478$Anonymous479$Anonymous480$Anonymous481$Anonymous482$Anonymous483,run/0,false,8131,3,28,0,28,1,10,66,0,1,0,10,0,0,0,0,0,2,0,2,3,0,0,1,0,0,28,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous723$Anonymous741,run/0,false,17231,0,28,0,28,1,1,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous458$Anonymous467,run/0,false,7534,0,28,0,28,1,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous458$Anonymous473$Anonymous474$Anonymous475,onAnimationUpdate/1[com.xc3fff0e.xmanager.ValueAnimator],false,7593,1,0,0,0,1,16,10,0,2,1,16,0,0,0,0,0,0,9,0,2,1,0,0,0,0,14,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\xManager.java,com.xc3fff0e.xmanager.xManager$Anonymous1,"uncaughtException/2[java.lang.Thread,java.lang.Throwable]",false,28,5,1,0,1,1,12,12,0,3,2,12,0,0,0,0,0,0,1,3,3,0,0,0,0,0,16,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous816,"getIns/2[int,int]",false,18113,2,3,3,0,1,2,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous815,"getIns/2[int,int]",false,18112,2,3,3,0,1,2,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous458$Anonymous470,run/0,false,7560,0,28,0,28,1,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous818,"getIns/2[int,int]",false,18115,2,3,3,0,1,2,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous817,"getIns/2[int,int]",false,18114,2,3,3,0,1,2,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous458$Anonymous473,run/0,false,7586,0,28,0,28,1,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\SplashActivity.java,com.xc3fff0e.xmanager.SplashActivity$Anonymous1$Anonymous2,run/0,false,125,1,28,0,28,1,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous819,"getIns/2[int,int]",false,18116,2,3,3,0,1,2,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\danie\Documents\GitHub\lab2_top1000\lab2\data\repos\xManager\app\src\main\java\com\xc3fff0e\xmanager\MainActivity.java,com.xc3fff0e.xmanager.MainActivity$Anonymous458$Anonymous476,run/0,false,7612,0,28,0,28,1,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,false
