cbo_sum,dit_sum,lcom_sum,repo_name,stars,forks,age_years,releases,loc
33,7,536,CircleImageView,14556,3119,10.684931506849315,0,360
0,1,0,android-interview-questions,11271,2233,7.208219178082191,0,5
2480,648,1926,flink-learning,14494,3895,5.728767123287671,0,13941
362,138,1710,ARouter,14443,2606,7.778082191780822,0,3165
5829,1737,37675,QMUI_Android,14418,2671,7.427397260273972,0,58309
17,13,12,tech-interview-for-developer,14394,3332,5.293150684931507,0,636
0,1,0,GitHub-Chinese-Top-Charts,99001,13078,5.052054794520548,0,5
403,215,1012,hello-algo,95744,12138,1.884931506849315,0,7707
5921,2104,3286,java-design-patterns,89426,26442,10.126027397260273,0,32893
902,299,22614,ImmersionBar,11269,1885,7.432876712328767,0,7237
2990,942,844211,mall,77372,28718,6.473972602739726,0,100903
193,146,4091,PermissionsDispatcher,11223,1443,9.10958904109589,0,3184
353,135,3511,SlidingMenu,11080,5043,12.238356164383562,0,3085
1343,692,2274,interview,11078,5171,10.180821917808219,0,27259
5737,1621,25133,androidannotations,11063,2349,12.72054794520548,0,28800
213,51,7362,FlycoTabLayout,11050,2417,8.876712328767123,0,2730
448,95,3107,newbee-mall,11032,2704,5.008219178082192,0,3935
1218,454,11302,FileDownloader,11017,2200,8.758904109589041,0,14387
4,4,0,LeetCodeAnimation,75330,13966,5.8,0,78
20610,7374,14087166,libgdx,23170,6419,12.123287671232877,0,287328
67957,16761,156312,spring-boot,74574,40554,11.931506849315069,0,373733
49235,12169,588689,pulsar,14139,3567,8.241095890410959,0,487810
86249,18448,738475,bazel,23001,4030,10.284931506849315,0,627720
24793,7776,185479,jenkins,22997,8691,13.841095890410958,0,182779
52603,12493,558054,keycloak,22385,6623,11.23013698630137,0,464370
307,258,75,interviews,63395,12892,7.605479452054794,0,5621
6585,1771,18807,Sentinel,22319,8004,6.473972602739726,0,55001
478,729,668,Java,58721,18979,8.191780821917808,0,10840
91554,25724,529475,spring-framework,56255,37983,13.8,0,723263
1734,740,14725,Arduino,14124,7003,14.021917808219179,0,25793
